Date,Price,Volume,CirSupply,Velocity,Valuation
2020-12-13,4.89,57454643,887514260,0.06,0.02
2020-12-14,4.90,41711379,887352878,0.05,0.01
2020-12-15,5.25,67434865,889970244,0.08,0.03
2020-12-16,5.36,94866022,890152300,0.11,0.06
2020-12-17,5.34,161788092,891137732,0.18,0.18
2020-12-18,5.37,113110401,891234016,0.13,0.09
2020-12-19,5.34,96937946,891620662,0.11,0.06
2020-12-20,5.19,100080068,891730105,0.11,0.07
2020-12-21,4.89,136068580,892643839,0.15,0.11
2020-12-22,5.15,135390395,893791915,0.15,0.12
2020-12-23,4.71,141282653,893358048,0.16,0.12
2020-12-24,5.13,126025546,893306219,0.14,0.10
2020-12-25,5.21,98381074,894399659,0.11,0.06
2020-12-26,5.18,93616702,894288379,0.10,0.06
2020-12-27,5.14,152564179,893445022,0.17,0.15
2020-12-28,6.59,265042288,894167842,0.30,0.58
2020-12-29,7.52,361434020,894651740,0.40,1.23
2020-12-30,7.25,284002432,895472471,0.32,0.73
2020-12-31,9.29,296156304,895401424,0.33,1.02
2021-01-01,8.31,335885815,895653949,0.38,1.17
2021-01-02,9.21,331078437,896206005,0.37,1.26
2021-01-03,10.03,302381164,896824373,0.34,1.14
2021-01-04,9.47,305518757,896743284,0.34,1.10
2021-01-05,9.70,214509502,897345612,0.24,0.55
2021-01-06,10.10,235889522,896998125,0.26,0.70
2021-01-07,9.64,261550079,898212853,0.29,0.82
2021-01-08,9.31,252438538,897703650,0.28,0.74
2021-01-09,9.78,151207897,898145086,0.17,0.28
2021-01-10,9.31,172284502,898080034,0.19,0.34
2021-01-11,8.28,392638080,898357813,0.44,1.58
2021-01-12,8.26,232299042,899643636,0.26,0.55
2021-01-13,10.96,266032060,899382830,0.30,0.96
2021-01-14,14.54,371736924,899776467,0.41,2.48
2021-01-15,13.21,466285465,900260104,0.52,3.54
2021-01-16,18.18,490488532,900826064,0.54,5.39
2021-01-17,16.98,358754342,901455982,0.40,2.69
2021-01-18,16.51,235504528,901873201,0.26,1.13
2021-01-19,16.47,207311633,902100400,0.23,0.87
2021-01-20,17.95,257632798,902381706,0.29,1.46
2021-01-21,15.94,303872368,903054014,0.34,1.80
2021-01-22,17.16,174335663,903196849,0.19,0.64
2021-01-23,18.60,152812752,903252584,0.17,0.53
2021-01-24,18.00,155580270,903814164,0.17,0.53
2021-01-25,17.25,194289777,904263819,0.21,0.80
2021-01-26,17.12,151183026,904618997,0.17,0.48
2021-01-27,15.50,191816980,905244897,0.21,0.70
2021-01-28,16.94,174790509,905466294,0.19,0.63
2021-01-29,16.84,217200925,905535124,0.24,0.97
2021-01-30,16.51,121060534,905450789,0.13,0.30
2021-01-31,16.12,157597682,905906187,0.17,0.49
2021-02-01,16.38,136079744,905964348,0.15,0.37
2021-02-02,17.26,154019912,906624964,0.17,0.50
2021-02-03,20.73,226015816,906852900,0.25,1.29
2021-02-04,19.70,246641738,907159914,0.27,1.46
2021-02-05,20.90,162061199,907438029,0.18,0.67
2021-02-06,20.40,128570347,907371835,0.14,0.41
2021-02-07,19.79,153532491,908175111,0.17,0.57
2021-02-08,23.03,205673232,908336824,0.23,1.18
2021-02-09,23.13,149001164,908493536,0.16,0.62
2021-02-10,23.59,178171339,908504467,0.20,0.91
2021-02-11,25.23,160932811,907328878,0.18,0.79
2021-02-12,28.69,159026370,907698312,0.18,0.88
2021-02-13,28.02,176574628,948273650,0.19,0.97
2021-02-14,27.10,131020414,908071974,0.14,0.56
2021-02-15,27.78,194669098,908580506,0.21,1.28
2021-02-16,30.16,174892315,908801876,0.19,1.12
2021-02-17,31.99,134184023,908953700,0.15,0.70
2021-02-18,31.18,63916662,937354201,0.07,0.14
2021-02-19,34.79,99648149,909759500,0.11,0.42
2021-02-20,39.24,154349291,910111146,0.17,1.13
2021-02-21,39.70,93733991,910193330,0.10,0.42
2021-02-22,37.69,153104600,911785588,0.17,1.06
2021-02-23,34.30,218721229,912312557,0.24,1.97
2021-02-24,33.63,140477016,913080049,0.15,0.80
2021-02-25,31.08,111655942,913333518,0.12,0.46
2021-02-26,31.35,164188640,913424696,0.18,1.01
2021-02-27,33.45,134746745,913837310,0.15,0.73
2021-02-28,33.61,135900532,914115517,0.15,0.74
2021-03-01,35.58,93071915,914540921,0.10,0.37
2021-03-02,36.15,103813502,914705007,0.11,0.47
2021-03-03,37.04,72453161,914941961,0.08,0.23
2021-03-04,35.33,81185081,915169358,0.09,0.28
2021-03-05,33.72,90034261,915690920,0.10,0.33
2021-03-06,33.43,48994702,915954992,0.05,0.10
2021-03-07,35.19,45682794,916052376,0.05,0.09
2021-03-08,34.91,53152320,916381020,0.06,0.12
2021-03-09,38.19,79098375,918484326,0.09,0.28
2021-03-10,37.57,83674658,918534842,0.09,0.31
2021-03-11,36.88,69509433,919004009,0.08,0.21
2021-03-12,35.99,61097639,919226880,0.07,0.16
2021-03-13,37.16,56924318,920102636,0.06,0.14
2021-03-14,36.58,44838481,920336654,0.05,0.09
2021-03-15,34.36,84562471,920504566,0.09,0.29
2021-03-16,35.43,71089004,920809966,0.08,0.21
2021-03-17,36.14,58423301,921087985,0.06,0.15
2021-03-18,35.52,46157214,921515816,0.05,0.09
2021-03-19,38.27,65095348,921960226,0.07,0.19
2021-03-20,37.35,57123415,922146205,0.06,0.14
2021-03-21,36.79,52466563,922448798,0.06,0.12
2021-03-22,35.54,54301766,922542807,0.06,0.12
2021-03-23,34.46,50173610,922835895,0.05,0.10
2021-03-24,30.44,89659089,922913645,0.10,0.29
2021-03-25,29.98,114537109,923376630,0.12,0.46
2021-03-26,33.20,52281610,923642696,0.06,0.11
2021-03-27,32.66,46495282,923885090,0.05,0.08
