Date,Price,Volume,CirSupply,Velocity,Valuation
2021-01-04,3.59,10978291,76937057,0.14,0.07
2021-01-05,4.24,16456997,76937061,0.21,0.19
2021-01-06,4.62,16802301,76937059,0.22,0.22
2021-01-07,4.48,11999058,76937062,0.16,0.11
2021-01-08,5.80,17371977,76937060,0.23,0.30
2021-01-09,7.22,22473744,76937059,0.29,0.62
2021-01-10,6.59,14612318,76937055,0.19,0.24
2021-01-11,6.49,15613425,76937057,0.20,0.27
2021-01-12,7.78,20267871,76937054,0.26,0.54
2021-01-13,8.47,12681339,76937058,0.16,0.23
2021-01-14,9.26,16701117,76937056,0.22,0.44
2021-01-15,9.38,13157579,76937056,0.17,0.27
2021-01-16,12.88,23520726,76937056,0.31,1.20
2021-01-17,13.20,22998628,76937055,0.30,1.18
2021-01-18,12.70,11353981,76937057,0.15,0.28
2021-01-19,11.79,12500683,76937055,0.16,0.31
2021-01-20,12.41,11541279,76937058,0.15,0.28
2021-01-21,11.31,14714327,76937058,0.19,0.41
2021-01-22,12.72,14963095,76937055,0.19,0.48
2021-01-23,12.88,10928430,76937054,0.14,0.26
2021-01-24,12.46,8435349,76937052,0.11,0.15
2021-01-25,12.22,7330806,76937058,0.10,0.11
2021-01-26,12.17,9658808,76937055,0.13,0.19
2021-01-27,11.18,8691744,76937055,0.11,0.14
2021-01-28,12.00,9599937,76937054,0.12,0.19
2021-01-29,11.62,12608259,76937054,0.16,0.31
2021-01-30,11.98,9423587,76937057,0.12,0.18
2021-01-31,13.52,25973736,76937055,0.34,1.54
2021-02-01,13.23,11285395,76937058,0.15,0.28
2021-02-02,13.52,6738786,76937056,0.09,0.10
2021-02-03,14.81,9761198,76937056,0.13,0.24
2021-02-04,15.37,11733248,76937056,0.15,0.36
2021-02-05,17.91,10982080,76937054,0.14,0.36
2021-02-06,17.98,10714132,76937054,0.14,0.35
2021-02-07,24.21,22549747,76937059,0.29,2.08
2021-02-08,30.28,29546216,76937056,0.38,4.46
2021-02-09,31.60,14086828,76937055,0.18,1.06
2021-02-10,55.30,40431622,76937058,0.53,15.27
2021-02-11,47.37,18075133,76937056,0.23,2.61
