Date,Price,Volume,CirSupply,Velocity,Valuation
2019-08-10,3.34,39306393,190483333,0.21,0.14
2019-08-11,3.52,34041109,190930830,0.18,0.11
2019-08-12,3.33,41119309,190813138,0.22,0.15
2019-08-13,3.25,40085301,190684209,0.21,0.14
2019-08-14,2.84,50472489,190887336,0.26,0.20
2019-08-15,2.95,40054112,190732258,0.21,0.13
2019-08-16,2.92,44098346,190627519,0.23,0.16
2019-08-17,2.90,34805912,190738541,0.18,0.10
2019-08-18,2.98,35217300,190471324,0.18,0.10
2019-08-19,2.91,41486909,190691430,0.22,0.14
2019-08-20,2.89,41847508,190549153,0.22,0.14
2019-08-21,2.65,49073340,190829511,0.26,0.18
2019-08-22,2.72,37813167,190666363,0.20,0.11
2019-08-23,2.70,48045030,191007598,0.25,0.17
2019-08-24,2.70,39516554,190717738,0.21,0.12
2019-08-25,2.62,39943375,190591553,0.21,0.12
2019-08-26,2.62,39483458,191026576,0.21,0.11
2019-08-27,2.56,48279646,190797887,0.25,0.16
2019-08-28,2.32,56805344,190837860,0.30,0.21
2019-08-29,2.17,66528606,191104076,0.35,0.26
2019-08-30,2.16,45920464,190639476,0.24,0.13
2019-08-31,2.04,52477183,190493098,0.28,0.15
2019-09-01,2.14,51541525,190541243,0.27,0.16
2019-09-02,2.12,55384899,190760992,0.29,0.18
2019-09-03,2.16,59242835,190822488,0.31,0.21
2019-09-04,2.05,52267425,190485050,0.27,0.15
2019-09-05,1.95,58079739,190500507,0.30,0.18
2019-09-06,2.04,65390065,190999728,0.34,0.24
2019-09-07,2.18,67141293,190318210,0.35,0.27
2019-09-08,2.73,71868805,190974996,0.38,0.39
2019-09-09,2.74,82143247,190708262,0.43,0.51
2019-09-10,2.59,73008831,191005176,0.38,0.38
2019-09-11,2.57,56058067,191025026,0.29,0.22
2019-09-12,3.08,62649856,190708997,0.33,0.33
2019-09-13,3.17,62959956,190903437,0.33,0.34
2019-09-14,3.11,55829316,190427703,0.29,0.27
2019-09-15,3.45,54861732,190595046,0.29,0.29
2019-09-16,3.32,54458843,190656429,0.29,0.27
2019-09-17,3.32,53443183,190827763,0.28,0.26
2019-09-18,3.31,49394665,190691591,0.26,0.22
2019-09-19,3.13,58836286,190704461,0.31,0.30
2019-09-20,3.18,46548608,190986800,0.24,0.19
2019-09-21,3.07,47881269,190969658,0.25,0.19
2019-09-22,2.91,48174771,190721688,0.25,0.19
2019-09-23,2.58,50264510,190692934,0.26,0.18
2019-09-24,2.24,84039750,190841945,0.44,0.43
2019-09-25,2.30,77242621,190986457,0.40,0.38
2019-09-26,2.22,63265141,190859716,0.33,0.24
2019-09-27,2.29,49435127,190801166,0.26,0.15
2019-09-28,2.28,42461660,190871339,0.22,0.11
2019-09-29,2.21,48276115,190386189,0.25,0.14
2019-09-30,2.63,52007744,190711542,0.27,0.20
2019-10-01,2.55,46639652,190718727,0.24,0.15
2019-10-02,2.60,44692348,190981678,0.23,0.14
2019-10-03,2.58,43717724,190803456,0.23,0.14
2019-10-04,2.59,36226898,190399086,0.19,0.09
2019-10-05,2.75,38472539,190455530,0.20,0.11
2019-10-06,2.67,37439973,190465112,0.20,0.10
2019-10-07,2.91,40115168,190641252,0.21,0.13
2019-10-08,2.91,49391413,190958886,0.26,0.19
2019-10-09,2.91,45772672,190824048,0.24,0.17
2019-10-10,2.90,58678048,190956058,0.31,0.27
2019-10-11,2.84,51949625,190382920,0.27,0.21
2019-10-12,2.84,45786136,190662444,0.24,0.16
2019-10-13,2.88,47980265,190648351,0.25,0.18
2019-10-14,3.10,51863039,190810307,0.27,0.23
2019-10-15,2.95,54114356,190665345,0.28,0.24
2019-10-16,2.85,51168302,190818051,0.27,0.20
2019-10-17,2.92,44558561,190648998,0.23,0.16
2019-10-18,2.75,50748811,190953121,0.27,0.19
2019-10-19,2.76,44639883,190764954,0.23,0.15
2019-10-20,2.90,42589596,190956951,0.22,0.14
2019-10-21,2.99,46262567,190644610,0.24,0.18
2019-10-22,2.88,48370760,190594758,0.25,0.19
2019-10-23,2.69,57518342,190614314,0.30,0.24
2019-10-24,2.85,42472944,190577697,0.22,0.14
2019-10-25,3.02,66937731,190432137,0.35,0.37
2019-10-26,3.09,79946448,190545665,0.42,0.54
2019-10-27,3.20,63271223,190860133,0.33,0.35
2019-10-28,3.11,64633515,190980888,0.34,0.36
2019-10-29,3.16,55363798,190446132,0.29,0.27
2019-10-30,3.04,52511794,190392324,0.28,0.23
2019-10-31,3.21,38416494,190397452,0.20,0.13
2019-11-01,3.27,43421896,190676492,0.23,0.17
2019-11-02,3.43,42744093,190863113,0.22,0.17
2019-11-03,3.40,39584204,190459182,0.21,0.15
2019-11-04,3.62,46136825,190895693,0.24,0.21
2019-11-05,3.75,52943382,190860597,0.28,0.29
2019-11-06,3.76,31684654,190720492,0.17,0.10
2019-11-07,3.89,35518907,190645294,0.19,0.14
2019-11-08,3.81,42568000,190801205,0.22,0.19
2019-11-09,3.96,34944166,190834416,0.18,0.13
2019-11-10,4.21,41706064,190595818,0.22,0.20
2019-11-11,4.36,43113286,190627393,0.23,0.22
2019-11-12,4.22,45188420,190580735,0.24,0.24
2019-11-13,4.00,43622561,190465976,0.23,0.21
2019-11-14,4.02,36199846,190538817,0.19,0.15
2019-11-15,3.93,40611883,190561387,0.21,0.18
2019-11-16,3.99,30267184,190581441,0.16,0.10
2019-11-17,3.92,30466613,190894699,0.16,0.10
2019-11-18,3.63,40976923,190668204,0.21,0.17
2019-11-19,3.53,39230526,190553867,0.21,0.15
2019-11-20,3.35,40645217,190480794,0.21,0.15
2019-11-21,3.20,46987250,190565723,0.25,0.19
2019-11-22,2.94,56420307,190869574,0.30,0.26
2019-11-23,3.25,72511699,190961354,0.38,0.47
2019-11-24,3.06,87282678,190456038,0.46,0.64
2019-11-25,3.41,53966482,190726397,0.28,0.27
2019-11-26,3.51,47467979,190610126,0.25,0.22
2019-11-27,3.58,50167966,190934865,0.26,0.25
2019-11-28,3.69,39324472,190532715,0.21,0.16
2019-11-29,4.01,45663388,190817455,0.24,0.23
2019-11-30,3.93,40938067,190471703,0.21,0.18
2019-12-01,3.81,46163711,190555894,0.24,0.22
2019-12-02,3.68,41076305,190765602,0.22,0.17
2019-12-03,3.70,39109555,190804608,0.20,0.16
2019-12-04,3.60,52284053,190643028,0.27,0.27
2019-12-05,3.53,51350172,190717572,0.27,0.26
2019-12-06,3.67,49686337,190646604,0.26,0.25
2019-12-07,3.81,51813635,190463106,0.27,0.28
2019-12-08,3.95,50907717,190458550,0.27,0.28
2019-12-09,3.71,58391517,190437280,0.31,0.35
2019-12-10,3.60,57572035,190612394,0.30,0.33
2019-12-11,3.81,52361091,190908918,0.27,0.29
2019-12-12,4.12,55974358,190878266,0.29,0.35
2019-12-13,3.99,51619045,190534829,0.27,0.29
2019-12-14,4.24,45110636,190890461,0.24,0.24
2019-12-15,4.49,51407102,190874024,0.27,0.33
2019-12-16,4.08,50943698,190686011,0.27,0.29
2019-12-17,3.63,59599822,190547419,0.31,0.36
2019-12-18,4.30,60519798,190905019,0.32,0.43
2019-12-19,4.29,34858047,190630373,0.18,0.14
2019-12-20,4.31,32959816,190893112,0.17,0.13
2019-12-21,4.09,27159141,190606865,0.14,0.08
2019-12-22,4.27,27882411,190632859,0.15,0.09
2019-12-23,4.30,31081702,190762090,0.16,0.11
